Date,Site ID,Daily Max 8-hour CO Concentration,Units,Daily AQI Value,Daily Obs Count,AQS Parameter Description,County FIPS Code,County,Site Latitude,Site Longitude
07/17/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/18/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/19/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/20/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/21/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/22/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/23/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/24/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/25/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/26/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/27/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/28/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/29/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/30/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
07/31/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/01/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/02/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/03/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/04/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/05/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/06/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/07/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/08/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/09/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/10/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/11/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/12/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/13/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/14/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/15/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/16/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/17/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/18/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/19/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/20/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/21/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/22/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/23/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/24/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/25/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/26/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/27/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/28/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/29/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/30/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
08/31/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/01/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/02/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/03/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/04/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/05/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/06/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/07/2023,490352005,0.2,ppm,2,18,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/08/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/09/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/10/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/11/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/12/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/13/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/14/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/15/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/16/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/17/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/18/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
09/19/2023,490352005,0.2,ppm,2,13,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
